,Acceleration,Age,Aggression,Agility,Attacking_Position,Balance,Ball_Control,Birth_Date,Club,Club_Joining,Club_Kit,Club_Position,Composure,Contract_Expiry,Crossing,Curve,Dribbling,Finishing,Freekick_Accuracy,GK_Diving,GK_Handling,GK_Kicking,GK_Positioning,GK_Reflexes,Heading,Height,Interceptions,Jumping,Long_Pass,Long_Shots,Marking,Name,National_Kit,National_Position,Nationality,Penalties,Preffered_Foot,Preffered_Position,Rating,Reactions,Short_Pass,Shot_Power,Skill_Moves,Sliding_Tackle,Speed,Stamina,Standing_Tackle,Strength,Vision,Volleys,Weak_foot,Weight,Work_Rate
9768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ParaguayParaguay,,,,,,,,,,,,,,,,,,
9777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SerbiaSerbia,,,,,,,,,,,,,,,,,,
9778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwedenSweden,,,,,,,,,,,,,,,,,,
9779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UgandaUganda,,,,,,,,,,,,,,,,,,
9782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
9783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlgeriaAlgeria,,,,,,,,,,,,,,,,,,
9785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United StatesUnited States,,,,,,,,,,,,,,,,,,
9787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
9788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JapanJapan,,,,,,,,,,,,,,,,,,
9789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CroatiaCroatia,,,,,,,,,,,,,,,,,,
9790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NorwayNorway,,,,,,,,,,,,,,,,,,
9791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
9792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BelgiumBelgium,,,,,,,,,,,,,,,,,,
9794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
9795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwedenSweden,,,,,,,,,,,,,,,,,,
9797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwedenSweden,,,,,,,,,,,,,,,,,,
9799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwedenSweden,,,,,,,,,,,,,,,,,,
9800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AustriaAustria,,,,,,,,,,,,,,,,,,
9802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SerbiaSerbia,,,,,,,,,,,,,,,,,,
9806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SlovakiaSlovakia,,,,,,,,,,,,,,,,,,
9808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UruguayUruguay,,,,,,,,,,,,,,,,,,
9809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NigeriaNigeria,,,,,,,,,,,,,,,,,,
9816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TurkeyTurkey,,,,,,,,,,,,,,,,,,
9818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CroatiaCroatia,,,,,,,,,,,,,,,,,,
9819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
9820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MaliMali,,,,,,,,,,,,,,,,,,
9835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United StatesUnited States,,,,,,,,,,,,,,,,,,
9837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
9838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Costa RicaCosta Rica,,,,,,,,,,,,,,,,,,
9841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
9843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SloveniaSlovenia,,,,,,,,,,,,,,,,,,
9844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RussiaRussia,,,,,,,,,,,,,,,,,,
9845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TurkeyTurkey,,,,,,,,,,,,,,,,,,
9846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwitzerlandSwitzerland,,,,,,,,,,,,,,,,,,
9847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AustraliaAustralia,,,,,,,,,,,,,,,,,,
9850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
9851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
9852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
9853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
9854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RussiaRussia,,,,,,,,,,,,,,,,,,
9855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RussiaRussia,,,,,,,,,,,,,,,,,,
9856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UruguayUruguay,,,,,,,,,,,,,,,,,,
9858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
9859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Czech RepublicCzech Republic,,,,,,,,,,,,,,,,,,
9860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GreeceGreece,,,,,,,,,,,,,,,,,,
9861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TurkeyTurkey,,,,,,,,,,,,,,,,,,
9862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TurkeyTurkey,,,,,,,,,,,,,,,,,,
9863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SlovakiaSlovakia,,,,,,,,,,,,,,,,,,
9864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DenmarkDenmark,,,,,,,,,,,,,,,,,,
9865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EcuadorEcuador,,,,,,,,,,,,,,,,,,
9867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BelgiumBelgium,,,,,,,,,,,,,,,,,,
9868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
9871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South AfricaSouth Africa,,,,,,,,,,,,,,,,,,
9872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CroatiaCroatia,,,,,,,,,,,,,,,,,,
9874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BoliviaBolivia,,,,,,,,,,,,,,,,,,
9875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
9877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SenegalSenegal,,,,,,,,,,,,,,,,,,
9881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SenegalSenegal,,,,,,,,,,,,,,,,,,
9882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FinlandFinland,,,,,,,,,,,,,,,,,,
9883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korea RepublicKorea Republic,,,,,,,,,,,,,,,,,,
9886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VenezuelaVenezuela,,,,,,,,,,,,,,,,,,
9887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China PRChina PR,,,,,,,,,,,,,,,,,,
9888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
9889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United StatesUnited States,,,,,,,,,,,,,,,,,,
9890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BelgiumBelgium,,,,,,,,,,,,,,,,,,
9891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CroatiaCroatia,,,,,,,,,,,,,,,,,,
9892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UruguayUruguay,,,,,,,,,,,,,,,,,,
9893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
9897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
9898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korea RepublicKorea Republic,,,,,,,,,,,,,,,,,,
9899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PortugalPortugal,,,,,,,,,,,,,,,,,,
9900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IcelandIceland,,,,,,,,,,,,,,,,,,
9901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
9903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
9904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UruguayUruguay,,,,,,,,,,,,,,,,,,
9905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AustriaAustria,,,,,,,,,,,,,,,,,,
9908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
9909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
9911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
9912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Costa RicaCosta Rica,,,,,,,,,,,,,,,,,,
9913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UruguayUruguay,,,,,,,,,,,,,,,,,,
9914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
9915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korea RepublicKorea Republic,,,,,,,,,,,,,,,,,,
9916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
9917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
9918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwedenSweden,,,,,,,,,,,,,,,,,,
9919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IcelandIceland,,,,,,,,,,,,,,,,,,
9920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korea RepublicKorea Republic,,,,,,,,,,,,,,,,,,
9926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United StatesUnited States,,,,,,,,,,,,,,,,,,
9927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
9928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United StatesUnited States,,,,,,,,,,,,,,,,,,
9929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BulgariaBulgaria,,,,,,,,,,,,,,,,,,
9931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SwedenSweden,,,,,,,,,,,,,,,,,,
9932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GuineaGuinea,,,,,,,,,,,,,,,,,,
9933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
9934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
9935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AustraliaAustralia,,,,,,,,,,,,,,,,,,
9936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MoroccoMorocco,,,,,,,,,,,,,,,,,,
9937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GhanaGhana,,,,,,,,,,,,,,,,,,
9938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
9939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
9940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RomaniaRomania,,,,,,,,,,,,,,,,,,
9941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RussiaRussia,,,,,,,,,,,,,,,,,,
9942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RussiaRussia,,,,,,,,,,,,,,,,,,
9943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
9944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
9945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saudi ArabiaSaudi Arabia,,,,,,,,,,,,,,,,,,
9946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
9947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TurkeyTurkey,,,,,,,,,,,,,,,,,,
9948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
9949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
9950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
9952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SlovakiaSlovakia,,,,,,,,,,,,,,,,,,
9953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RussiaRussia,,,,,,,,,,,,,,,,,,
9955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China PRChina PR,,,,,,,,,,,,,,,,,,
9956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChileChile,,,,,,,,,,,,,,,,,,
9957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
9958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ItalyItaly,,,,,,,,,,,,,,,,,,
9959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UruguayUruguay,,,,,,,,,,,,,,,,,,
9960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BrazilBrazil,,,,,,,,,,,,,,,,,,
9962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UkraineUkraine,,,,,,,,,,,,,,,,,,
9964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CameroonCameroon,,,,,,,,,,,,,,,,,,
9966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
9967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SpainSpain,,,,,,,,,,,,,,,,,,
9968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetherlandsNetherlands,,,,,,,,,,,,,,,,,,
9969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EgyptEgypt,,,,,,,,,,,,,,,,,,
9970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EnglandEngland,,,,,,,,,,,,,,,,,,
9971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColombiaColombia,,,,,,,,,,,,,,,,,,
9972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BelgiumBelgium,,,,,,,,,,,,,,,,,,
9974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UruguayUruguay,,,,,,,,,,,,,,,,,,
9976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GermanyGermany,,,,,,,,,,,,,,,,,,
9977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UruguayUruguay,,,,,,,,,,,,,,,,,,
9978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FranceFrance,,,,,,,,,,,,,,,,,,
9979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArgentinaArgentina,,,,,,,,,,,,,,,,,,
9980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TurkeyTurkey,,,,,,,,,,,,,,,,,,
